,Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
35965,35966,0.25,Good,E,VVS2,64.9,58.0,476,3.95,3.97,2.57
52281,52282,0.84,Ideal,J,SI1,61.8,56.0,2493,6.04,6.07,3.74
6957,6958,1.05,Premium,J,VS2,61.1,58.0,4145,6.56,6.51,3.99
9163,9164,1.02,Ideal,F,SI2,60.7,56.0,4541,6.53,6.5,3.95
50598,50599,0.61,Ideal,F,VS1,61.8,57.0,2283,5.43,5.47,3.37
17933,17934,1.16,Ideal,G,VS2,61.7,57.0,7243,6.8,6.72,4.17
36050,36051,0.31,Ideal,G,IF,61.7,56.0,924,4.34,4.38,2.69
35856,35857,0.4,Ideal,D,VS2,60.8,59.0,917,4.71,4.76,2.88
18117,18118,1.58,Fair,H,SI1,64.7,58.0,7333,7.28,7.22,4.69
53803,53804,0.9,Good,H,SI1,63.8,56.0,2732,6.07,6.02,3.86
23919,23920,1.52,Premium,H,VS1,60.6,58.0,12047,7.46,7.39,4.5
49000,49001,0.73,Fair,G,SI2,64.7,60.0,2050,5.68,5.64,3.66
42221,42222,0.33,Ideal,E,IF,62.1,55.0,1289,4.43,4.46,2.76
35653,35654,0.31,Very Good,G,VVS2,63.1,57.0,907,4.32,4.3,2.72
1,2,0.21,Premium,E,SI1,59.8,61.0,326,3.89,3.84,2.31
22011,22012,1.52,Good,H,SI1,63.8,60.0,10078,7.3,7.24,4.64
52170,52171,0.5,Ideal,D,VVS2,62.5,53.0,2475,5.05,5.13,3.18
45609,45610,0.56,Ideal,H,VS1,62.2,55.3,1691,5.26,5.31,3.28
7648,7649,0.9,Premium,G,VS2,61.7,59.0,4269,6.14,6.22,3.81
4217,4218,0.72,Ideal,D,SI1,61.7,55.0,3568,5.77,5.8,3.57
44945,44946,0.58,Premium,F,SI1,61.0,57.0,1634,5.41,5.34,3.28
1185,1186,0.7,Very Good,G,VVS2,60.8,57.0,2931,5.72,5.76,3.49
49714,49715,0.56,Ideal,G,VVS2,62.6,53.0,2148,5.27,5.31,3.31
37457,37458,0.42,Premium,H,VVS2,62.4,55.0,984,4.81,4.78,2.99
31833,31834,0.34,Ideal,G,VVS2,61.9,57.0,775,4.44,4.48,2.76
29477,29478,0.32,Ideal,F,VS1,61.3,56.0,702,4.4,4.44,2.71
37720,37721,0.34,Ideal,G,VVS2,62.6,54.0,995,4.47,4.44,2.79
43784,43785,0.57,Ideal,G,SI1,62.2,55.0,1441,5.33,5.35,3.32
5386,5387,0.3,Premium,G,SI1,58.8,60.0,574,4.39,4.35,2.57
23182,23183,1.51,Very Good,F,SI1,62.4,55.0,11190,7.28,7.34,4.56
10262,10263,1.01,Ideal,E,SI2,61.2,54.0,4751,6.52,6.49,3.98
16629,16630,1.01,Very Good,F,VS2,60.6,55.0,6649,6.5,6.56,3.96
33140,33141,0.31,Good,G,VVS1,63.4,57.0,816,4.32,4.36,2.75
